CD_CLIENTE,INADIMPLENTE,NM_MUN,SG_UF,SCORE,TEM_AUXILIO,TEM_BOLSAFAMILIA,NM_REGIAO,CD_UF,CD_MUN,PF_CNT,PF_VOL,PF_ITS,PF_TPR,PF_GRV,PF_MRC,PF_TDC,PF_FRQ,PF_VLR,PF_REC,PF_ETB,PF_MOD01,PF_MOD02,PF_MOD03,PF_MOD04,Bancarizado,OCUPACAO,IDADE,CD_MESO
12844,0,ITAQUAQUECETUBA,SP,548,0,0,SUDESTE,35,3523107,0,0,0,0,0,0,0,0,0,0,101,0,0,92.67,0,1,3,48,3523
12845,0,SANTOS,SP,741,0,0,SUDESTE,35,3548500,101,1,0,0,1,0,51,26,0,0,101,0,0,0,67.67,1,3,44,3548
12846,1,SUMARE,SP,330,1,1,SUDESTE,35,3552403,101,1,0,0,1,0,51,1,0,0,101,0,67.67,0,0,1,2,43,3552
12847,0,MOGI DAS CRUZES,SP,875,0,0,SUDESTE,35,3530607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,3530
12848,0,SAO PAULO,SP,748,1,0,SUDESTE,35,3550308,23.12,64.07,0,0,1,0,51,1,0,38.99,1,0,0,0,101,1,3,40,3550
12849,0,BRASILIA,DF,924,0,0,CENTRO-OESTE,53,5300108,1,100,0,0,1,0,51,1,0,30.13,1,0,0,101,101,1,2,60,5300
12850,0,TABOAO DA SERRA,SP,847,0,0,SUDESTE,35,3552809,1.09,46.24,0,0,1,0,51,1,0,30.13,101,0,0,51,101,1,2,42,3552
12851,0,SAO LOURENCO,MG,822,0,0,SUDESTE,31,3163706,1,101,0,63.91,1,0,51,1,0,30.13,1,0,101,0,0,1,1,82,3163
12852,0,SAO PAULO,SP,879,1,0,SUDESTE,35,3550308,1.03,83.24,0,0,1,0,51,1,0,10.97,1,0,0,0,101,1,3,42,3550
12853,0,RIBEIRAO PRETO,SP,904,0,0,SUDESTE,35,3543402,1,100.3,0,85.55,1,0,51,1,0,87.17,81.6,0,101,17.67,101,1,2,41,3543
12854,0,SAO PAULO,SP,898,0,0,SUDESTE,35,3550308,1,101,0,0,1,0,89.08,101,90.82,20.74,1,0,0,0,101,1,3,56,3550
12855,0,TABOAO DA SERRA,SP,502,1,0,SUDESTE,35,3552809,23.28,10.56,0,26.43,13.5,1,51,101,97.96,38.99,1,0,101,0,101,1,3,42,3552
12856,0,CAUCAIA,CE,701,1,0,NORDESTE,23,2303709,46.42,5.45,1,0,1,0,51,9.33,0,10.97,1,0,0,51,101,1,3,45,2303
12857,1,CAMPINAS,SP,697,1,0,SUDESTE,35,3509502,70.33,5.86,0,0,1,0,74.11,92.67,3.89,10.97,1,0,0,0,101,1,1,45,3509
12858,0,SAO PAULO,SP,538,0,0,SUDESTE,35,3550308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,3550
12859,0,SANTOS,SP,605,0,1,SUDESTE,35,3548500,101,82.55,1,24.55,1,0,51,51,0,20.74,1,0,101,9.33,0,1,1,50,3548
12860,0,ATIBAIA,SP,837,0,0,SUDESTE,35,3504107,2.36,61.09,1,0,1,0,51,51,0,20.74,1,0,0,101,101,1,3,42,3504
12861,0,GUARULHOS,SP,449,0,0,SUDESTE,35,3518800,1.91,33.26,0,37.27,1,0,74.11,84.33,85.32,54.7,94.11,0,17.67,0,92.67,1,3,42,3518
12862,0,SALVADOR,BA,849,0,0,NORDESTE,29,2927408,1,96.91,0,88.64,1,0,99.2,92.67,1,30.13,85.83,0,101,0,101,1,2,40,2927
12863,0,BELO HORIZONTE,MG,711,0,0,SUDESTE,31,3106200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,3106
12864,0,SEARA,SC,909,0,0,SUL,42,4217501,0,0,0,0,0,0,0,0,0,10.97,1,0,0,101,0,1,1,70,4217
12865,0,SANTA BARBARA D OESTE,SP,845,0,0,SUDESTE,35,3545803,1.61,100.9,1,86.65,1,1,51,101,0,38.99,1,0,101,51,101,1,3,41,3545
12866,0,POLONI,SP,909,0,0,SUDESTE,35,3539905,1.01,55.73,1,18.81,1,0,51,1,0,20.74,1,0,101,34.33,101,1,3,40,3539
12867,1,SAO PAULO,SP,578,0,0,SUDESTE,35,3550308,1.4,13.23,26.58,28.29,8.69,97.95,2.8,101,1,38.99,1,0,34.33,101,101,1,3,40,3550
12868,1,SAO PAULO,SP,578,0,0,SUDESTE,35,3550308,1.4,13.23,26.58,28.29,8.69,97.95,2.8,101,1,38.99,1,0,34.33,101,101,1,3,40,3550
12869,0,SAO PAULO,SP,890,0,0,SUDESTE,35,3550308,1,101,0,60.15,12.59,1,1.03,101,100.8,61.44,1,0,101,0,101,1,3,41,3550
12870,0,SAO PAULO,SP,832,0,0,SUDESTE,35,3550308,1,99.8,0,0,1,0,51,92.67,1,47.21,1,0,0,0,101,1,1,40,3550
12871,0,CAMPO LIMPO PAULISTA,SP,627,0,0,SUDESTE,35,3509601,0,0,32.5,0,0,0,0,0,0,0,101,0,0,26,0,1,2,42,3509
12872,0,SALTO,SP,805,0,0,SUDESTE,35,3545209,79.52,24.9,91.3,0,1,0,51,1,0,20.74,1,0,0,101,92.67,1,3,40,3545
12873,0,FLORIANOPOLIS,SC,898,0,0,SUL,42,4205407,1,101,101,78.79,2.14,1,74.11,101,60.24,100.8,24.7,0,101,101,101,1,3,68,4205
12874,0,SAO PAULO,SP,928,1,0,SUDESTE,35,3550308,1,101,0,0,1,0,51,1,0,47.21,81.45,0,0,34.33,101,1,3,40,3550
12875,0,DOURADO,SP,898,0,0,SUDESTE,35,3514304,1,6.88,6.02,0,1,0,51,1,0,20.74,98.68,0,59.33,101,101,1,3,41,3514
12876,0,ARARAQUARA,SP,913,1,0,SUDESTE,35,3503208,1.02,95.75,0,0,1,0,51,92.67,1,20.74,1,0,0,101,101,1,2,41,3503
12877,0,SAO PAULO,SP,887,0,0,SUDESTE,35,3550308,5.19,78.07,1,0,1,0,89.08,84.33,1,30.13,1,0,0,51,101,1,3,40,3550
12878,0,SANTO ANDRE,SP,676,0,0,SUDESTE,35,3547809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,3547
12879,0,MARABA,PA,656,1,0,NORTE,15,1504208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,1504
12880,1,SAO PAULO,SP,805,1,0,SUDESTE,35,3550308,1.27,84.09,0,0,1,0,51,34.33,0,30.13,1,0,0,0,101,1,1,42,3550
12881,0,ITUPEVA,SP,885,0,0,SUDESTE,35,3524006,1,101,0,53.27,1,0,89.08,84.33,1,30.13,1,0,101,101,101,1,3,40,3524
12882,1,MARITUBA,PA,881,0,0,NORTE,15,1504422,101,1,0,0,0,0,51,1,0,0,1,0,0,0,1,0,3,55,1504
12883,1,MARABA,PA,508,0,0,NORTE,15,1504208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,51,1504
12884,0,LUZIANIA,GO,817,0,0,CENTRO-OESTE,52,5212501,1,98.35,7.11,77.99,1,1,51,101,0,67.4,98.28,0,101,92.67,101,1,3,68,5212
12885,0,FERRAZ DE VASCONCELOS,SP,862,1,0,SUDESTE,35,3515707,1.01,92.27,0,0,1,0,51,101,63.91,38.99,67.4,0,0,0,101,1,3,43,3515
12886,0,SAO PAULO,SP,828,0,0,SUDESTE,35,3550308,3.79,61.18,0,0,1,0,51,34.33,0,10.97,100.8,0,0,0,101,1,3,42,3550
12887,0,PATROCINIO PAULISTA,SP,692,0,0,SUDESTE,35,3536307,32.35,24.91,0,16.86,1,0,51,1,0,20.74,1,0,67.67,101,0,1,3,41,3536
12888,0,SAO ROQUE,SP,523,0,0,SUDESTE,35,3550605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,39,3550
12889,0,SAO PAULO,SP,381,0,0,SUDESTE,35,3550308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,40,3550
12890,0,RIO DE JANEIRO,RJ,750,0,0,SUDESTE,33,3304557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,3304
12891,0,RIO GRANDE,RS,902,0,0,SUL,43,4315602,1,101,0,71.64,1,0,51,1,0,54.7,1,0,101,0,101,1,1,75,4315
12892,0,JALES,SP,868,1,0,SUDESTE,35,3524808,1,99.99,0,0,1,0,51,1,0,20.74,98.68,0,67.67,0,101,1,3,39,3524
12893,1,GUARACAI,SP,311,1,0,SUDESTE,35,3517802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,3517
